Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Image Large,Star Image Small
58931,Sony,KDL-65HX925,"Australia,New Zealand",Malaysia,163.9,11481.1,LCD (LED),0.26,0.08,14.96,160.32,6.0,6.968,587.0,Approved,2016-06-21,,Single product class,Unavailable,5.40560937021,http://www.sony.com.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
55375,Sony,KDL-32BX320,"Australia,New Zealand",China,80.03931,2736.7,LCD,0.3,0.1,10.0,74.2,4.5,4.695,275.0,Approved,2016-01-12,,Single product class,Unavailable,3.13255487082,http://www.sony.com.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
52186,Panasonic,TH-P65S20A,Australia,Japan,165.0,11558.0,Plasma,0.4,0.3,15.0,249.0,5.0,5.016,913.0,Approved,2015-07-29,,Single product class,Unavailable,3.4543201512,,http://N/A,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
67475,SONIQ,L42V12A-AU,"Australia,New Zealand,Other",China,106.716,4866.2832,LCD,0.9,0.0,0.0,140.6,4.0,4.01824753147,518.0,Approved,2017-10-15,,Single product class,Unavailable,1.01658729487,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
66982,SONIQ,E23Z12A-AU,"Australia,Fiji,New Zealand,Other",China,58.3,1451.9274,LCD,0.8,0.0,0.0,37.2,5.5,5.62245783044,140.0,Approved,2017-08-06,,Single product class,Unavailable,2.62120785553,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
66191,SONIQ,E48S12A-AU,"Australia,Fiji,New Zealand,Other",China,120.94,6249.851136,LCD (LED),0.29,0.0,0.0,101.81,6.0,6.47277574674,374.0,Approved,2017-06-25,,Single product class,Available,3.4710640315,,http://www.soniqav.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
64857,SONIQ,E32S12A-AU,"Australia,Fiji,New Zealand,Other",China,80.043,2737.0771,LCD (LED),0.3,0.0,0.0,43.3,7.0,7.12250625085,160.0,Approved,2017-05-20,,Single product class,Available,4.1210061987,,http://www.soniqav.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
63827,SUMO,SV-D01-460,"Australia,Fiji,New Zealand,Other",China,116.809,5830.238736,LCD (LED),0.54,0.0,0.0,74.88,7.0,7.49090714843,280.0,Superseded,2017-03-22,2013-04-11,Single product class,Available,5.49090714843,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
55364,Sony,KDL-22BX320,"Australia,New Zealand",China,54.7699,1281.5,LCD,0.3,0.1,8.0,37.4,5.0,5.253,140.0,Approved,2015-12-23,,Single product class,Unavailable,3.6899159741,http://www.sony.com.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
56542,Panasonic,TH-L42E30A,Australia,"Japan,China,Malaysia",106.0,4863.9,LCD (LED),0.2,0.15,12.1,71.0,7.0,7.088,261.0,Approved,2016-03-28,,Single product class,Unavailable,5.52603704179,,http://N/A,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
